violation_type,count
"[""WRONG PARKING"",""NO PARKING"",""DOUBLE PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",4
"[""NO PARKING"",""PARKING OTHER THAN BUS STOP""]",4
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""NO PARKING"",""WRONG PARKING""]",4
"[""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""NO PARKING""]",4
"[""PARKING ON FOOTPATH"",""NO PARKING"",""DOUBLE PARKING""]",4
"[""DEFECTIVE NUMBER PLATE"",""PARKING ON FOOTPATH"",""NO PARKING""]",4
"[""NO PARKING"",""DOUBLE PARKING"",""WRONG PARKING""]",4
"[""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING""]",4
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""WRONG PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",4
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING"",""WRONG PARKING""]",4
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""DOUBLE PARKING""]",4
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD""]",4
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""NO PARKING"",""WRONG PARKING""]",4
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DEFECTIVE NUMBER PLATE""]",4
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",4
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""USING BLACK FILM/OTHER MATERIALS""]",4
"[""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING""]",4
"[""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING"",""NO PARKING""]",4
"[""DOUBLE PARKING"",""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING""]",4
"[""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING"",""PARKING IN A MAIN ROAD""]",4
"[""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""PARKING IN A MAIN ROAD""]",4
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR ROAD CROSSING""]",4
"[""NO PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING""]",4
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE""]",4
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""WRONG PARKING""]",4
"[""NO PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",4
"[""WRONG PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",4
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""REFUSE TO GO FOR HIRE""]",4
"[""NO PARKING"",""WRONG PARKING"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING""]",4
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""DEFECTIVE NUMBER PLATE""]",4
"[""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""WRONG PARKING""]",4
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""DOUBLE PARKING""]",4
"[""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DEFECTIVE NUMBER PLATE""]",4
"[""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING NEAR ROAD CROSSING""]",4
"[""DEFECTIVE NUMBER PLATE"",""NO PARKING"",""WRONG PARKING""]",4
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""NO PARKING"",""WRONG PARKING""]",4
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",4
"[""NO PARKING"",""PARKING OTHER THAN BUS STOP"",""PARKING IN A MAIN ROAD""]",4
"[""DEFECTIVE NUMBER PLATE"",""PARKING ON FOOTPATH"",""WRONG PARKING""]",3
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",3
"[""PARKING ON FOOTPATH"",""WRONG PARKING"",""USING BLACK FILM/OTHER MATERIALS""]",3
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",3
"[""WRONG PARKING"",""NO PARKING"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING""]",3
"[""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE""]",3
"[""PARKING NEAR ROAD CROSSING"",""DEFECTIVE NUMBER PLATE"",""WRONG PARKING""]",3
"[""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""NO PARKING""]",3
"[""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING""]",3
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""REFUSE TO GO FOR HIRE""]",3
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",3
"[""WRONG PARKING"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE"",""PARKING OTHER THAN BUS STOP""]",3
"[""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD""]",3
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING ON FOOTPATH""]",3
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",3
"[""PARKING NEAR ROAD CROSSING"",""WRONG PARKING"",""REFUSE TO GO FOR HIRE""]",3
"[""NO PARKING"",""DEMANDING EXCESS FARE"",""REFUSE TO GO FOR HIRE""]",3
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING IN A MAIN ROAD""]",3
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DEFECTIVE NUMBER PLATE""]",3
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING""]",3
"[""H T V PROHIBITED"",""WRONG PARKING""]",3
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING"",""PARKING ON FOOTPATH""]",3
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""USING BLACK FILM/OTHER MATERIALS""]",3
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""WRONG PARKING"",""PARKING NEAR ROAD CROSSING""]",3
"[""DOUBLE PARKING"",""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD""]",3
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING""]",3
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""DEMANDING EXCESS FARE"",""REFUSE TO GO FOR HIRE""]",3
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING"",""USING BLACK FILM/OTHER MATERIALS""]",3
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",3
"[""PARKING ON FOOTPATH"",""NO PARKING"",""WRONG PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",3
"[""NO PARKING"",""WRONG PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD""]",3
"[""NO PARKING"",""USING BLACK FILM/OTHER MATERIALS"",""DEFECTIVE NUMBER PLATE""]",3
"[""NO PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",3
"[""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""WRONG PARKING"",""NO PARKING""]",3
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",3
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",3
"[""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING"",""WRONG PARKING""]",3
"[""WRONG PARKING"",""PARKING NEAR ROAD CROSSING"",""DEFECTIVE NUMBER PLATE""]",3
"[""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""PARKING ON FOOTPATH""]",3
"[""PARKING ON FOOTPATH"",""NO PARKING"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",3
"[""DEFECTIVE NUMBER PLATE"",""WITHOUT SIDE MIRROR"",""NO PARKING""]",3
"[""WITHOUT SIDE MIRROR"",""WRONG PARKING""]",3
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",3
"[""PARKING IN A MAIN ROAD"",""DEFECTIVE NUMBER PLATE"",""WRONG PARKING"",""NO PARKING""]",3
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""DEFECTIVE NUMBER PLATE"",""USING BLACK FILM/OTHER MATERIALS""]",3
"[""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",3
"[""NO PARKING"",""WRONG PARKING"",""DOUBLE PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",3
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING""]",3
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",3
"[""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""REFUSE TO GO FOR HIRE""]",3
"[""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING""]",3
"[""NO PARKING"",""WRONG PARKING"",""PARKING ON FOOTPATH"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE""]",2
"[""PARKING NEAR ROAD CROSSING"",""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",2
"[""DOUBLE PARKING"",""WRONG PARKING"",""OBSTRUCTING DRIVER""]",2
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING""]",2
"[""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING""]",2
"[""WRONG PARKING"",""REFUSE TO GO FOR HIRE"",""PARKING NEAR ROAD CROSSING""]",2
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",2
"[""DEFECTIVE NUMBER PLATE"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD""]",2
"[""NO PARKING"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""PARKING IN A MAIN ROAD""]",2
"[""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING""]",2
"[""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING""]",2
"[""DEFECTIVE NUMBER PLATE"",""NO PARKING"",""REFUSE TO GO FOR HIRE""]",2
"[""NO PARKING"",""DOUBLE PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",2
"[""NO PARKING"",""PARKING ON FOOTPATH"",""WRONG PARKING""]",2
"[""PARKING OTHER THAN BUS STOP"",""PARKING IN A MAIN ROAD"",""WRONG PARKING""]",2
"[""PARKING IN A MAIN ROAD"",""DEFECTIVE NUMBER PLATE"",""NO PARKING"",""WRONG PARKING""]",2
"[""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING""]",2
"[""NO PARKING"",""REFUSE TO GO FOR HIRE"",""DEFECTIVE NUMBER PLATE""]",2
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""REFUSE TO GO FOR HIRE"",""WRONG PARKING""]",2
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",2
"[""NO PARKING"",""WITHOUT SIDE MIRROR"",""DEFECTIVE NUMBER PLATE""]",2
"[""H T V PROHIBITED"",""AGAINST ONE WAY/NO ENTRY"",""PARKING IN A MAIN ROAD"",""WRONG PARKING""]",2
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING IN A MAIN ROAD""]",2
"[""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING""]",2
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING"",""PARKING NEAR ROAD CROSSING""]",2
"[""WRONG PARKING"",""NO PARKING"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD""]",2
"[""NO PARKING"",""REFUSE TO GO FOR HIRE"",""PARKING IN A MAIN ROAD""]",2
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING""]",2
"[""PARKING ON FOOTPATH"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING"",""NO PARKING""]",2
"[""PARKING NEAR ROAD CROSSING"",""DOUBLE PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING""]",2
"[""NO PARKING"",""WRONG PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING ON FOOTPATH""]",2
"[""NO PARKING"",""WRONG PARKING"",""PARKING ON FOOTPATH"",""DEFECTIVE NUMBER PLATE""]",2
"[""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING ON FOOTPATH"",""WRONG PARKING""]",2
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING""]",2
"[""WRONG PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING IN A MAIN ROAD""]",2
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE""]",2
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""DEFECTIVE NUMBER PLATE""]",2
"[""WRONG PARKING"",""NO PARKING"",""DOUBLE PARKING"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH""]",2
"[""NO PARKING"",""WRONG PARKING"",""REFUSE TO GO FOR HIRE""]",2
"[""WRONG PARKING"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",2
"[""WRONG PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD""]",2
"[""PARKING ON FOOTPATH"",""WRONG PARKING"",""REFUSE TO GO FOR HIRE""]",2
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""WRONG PARKING"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",2
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""PARKING NEAR ROAD CROSSING""]",2
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING IN A MAIN ROAD""]",2
"[""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""WRONG PARKING""]",2
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""DOUBLE PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",2
"[""H T V PROHIBITED"",""OBSTRUCTING DRIVER"",""WRONG PARKING""]",2
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""DOUBLE PARKING"",""DEFECTIVE NUMBER PLATE""]",2
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING ON FOOTPATH""]",2
"[""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING"",""NO PARKING""]",2
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",2
"[""NO PARKING"",""WRONG PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",2
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",2
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""USING BLACK FILM/OTHER MATERIALS""]",2
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING"",""USING BLACK FILM/OTHER MATERIALS""]",2
"[""REFUSE TO GO FOR HIRE"",""NO PARKING"",""WRONG PARKING""]",2
"[""NO PARKING"",""PARKING ON FOOTPATH"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",2
"[""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE"",""WRONG PARKING""]",2
"[""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""DOUBLE PARKING""]",2
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING"",""WRONG PARKING""]",2
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING""]",2
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""REFUSE TO GO FOR HIRE""]",2
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE""]",2
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",2
"[""H T V PROHIBITED"",""DEFECTIVE NUMBER PLATE"",""WRONG PARKING""]",2
"[""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",2
"[""PARKING ON FOOTPATH"",""DOUBLE PARKING"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",2
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""FAIL TO USE SAFETY BELTS"",""NO PARKING""]",2
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING"",""FAIL TO USE SAFETY BELTS""]",2
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH""]",2
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE""]",2
"[""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING""]",2
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE""]",2
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",2
"[""DOUBLE PARKING"",""WRONG PARKING"",""NO PARKING"",""PARKING ON FOOTPATH""]",2
"[""PARKING ON FOOTPATH"",""WRONG PARKING"",""DOUBLE PARKING"",""DEFECTIVE NUMBER PLATE""]",2
"[""WRONG PARKING"",""REFUSE TO GO FOR HIRE"",""PARKING IN A MAIN ROAD""]",2
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH""]",2
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING"",""DEMANDING EXCESS FARE""]",2
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""WRONG PARKING""]",2
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING"",""DOUBLE PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",2
"[""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",2
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""DEFECTIVE NUMBER PLATE""]",2
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",2
"[""DEFECTIVE NUMBER PLATE"",""NO PARKING"",""PARKING ON FOOTPATH""]",2
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",2
"[""PARKING NEAR ROAD CROSSING"",""NO PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",2
"[""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""PARKING ON FOOTPATH""]",2
"[""WRONG PARKING"",""PARKING ON FOOTPATH"",""DOUBLE PARKING""]",2
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING NEAR ROAD CROSSING""]",2
"[""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR ROAD CROSSING"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",2
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""DOUBLE PARKING"",""WRONG PARKING"",""NO PARKING""]",2
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",2
"[""NO PARKING"",""WRONG PARKING"",""DOUBLE PARKING"",""PARKING ON FOOTPATH""]",2
"[""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""NO PARKING""]",2
"[""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""WRONG PARKING"",""NO PARKING""]",2
